LGTHIN,LGTCM,HGPPM
12.8,32.512,0.08
15.5,39.37,0.12
16.1,40.894,0.06
18.9,48.006,0.07
18,45.72,0.08
21,53.34,0.13
22,55.88,0.08
12.9,32.766,0.062
15.1,38.354,0.18
16.1,40.894,0.11
17.8,45.212,0.1
17.3,43.942,0.058
18.8,47.752,0.24
19.7,50.038,0.14
21.5,54.61,0.26
20.7,52.578,0.13
12.5,31.75,0.04
13.8,35.052,0.049
14.2,36.068,0.071
17.7,44.958,0.046
16.7,42.418,0.097
19.1,48.514,0.078
28.3,71.882,0.24
12.3,31.242,0.1
13.6,34.544,0.074
15.6,39.624,0.068
17.1,43.434,0.079
18.8,47.752,0.096
20.3,51.562,0.096
22.6,57.404,0.1
28.4,72.136,0.29
11.7,29.718,0.11
14.3,36.322,0.1
17.4,44.196,0.23
20.1,51.054,0.13
25.4,64.516,0.22
17.8,45.212,0.3
19,48.26,0.34
12.8,32.512,0.11
16.4,41.656,0.23
19.4,49.276,0.17
20.7,52.578,0.29
10.4,26.416,0.05
12.3,31.242,0.12
12.1,30.734,0.11
15.8,40.132,0.14
19.3,49.022,0.18
22,55.88,0.26
24.5,62.23,0.28
14.6,37.084,0.15
14.6,37.084,0.12
16.4,41.656,0.2
12.5,31.75,0.15
14.8,37.592,0.24
15.3,38.862,0.19
19.5,49.53,0.2
20.6,52.324,0.2
25.7,65.278,0.57
10.9,27.686,0.11
11.7,29.718,0.18
13.5,34.29,0.17
18,45.72,0.28
10.3,26.162,0.08
20.8,52.832,0.22
10.9,27.686,0.08
11,27.94,0.12
10.9,27.686,0.09
11.1,28.194,0.08
15.2,38.608,0.14
17.6,44.704,0.2
16.9,42.926,0.11
22.1,56.134,0.32
14.3,36.322,0.062
14.4,36.576,0.065
14.6,37.084,0.11
14.9,37.846,0.055
15,38.1,0.055
15.5,39.37,0.08
15.6,39.624,0.069
16.4,41.656,0.076
19.2,48.768,0.092
20.2,51.308,0.15
12.4,31.496,0.12
12.4,31.496,0.092
12.5,31.75,0.13
13.1,33.274,0.18
13.8,35.052,0.22
14.1,35.814,0.075
14.2,36.068,0.13
15.5,39.37,0.16
18,45.72,0.32
19,48.26,0.23
20.2,51.308,0.3
18,45.72,0.22
12.2,30.988,0.16
17.7,44.958,0.26
21.2,53.848,0.58
11.8,29.972,0.13
18.2,46.228,0.3
20.8,52.832,0.45
25.1,63.754,0.42
26.2,66.548,0.51
18.3,46.482,0.075
21,53.34,0.19
11.6,29.464,0.095
15.7,39.878,0.131
18.1,45.974,0.161
22.6,57.404,0.183
24.2,61.468,0.518
11.3,28.702,0.11
15.2,38.608,0.12
15.9,40.386,0.22
16.3,41.402,0.19
16.5,41.91,0.16
16.6,42.164,0.13
16.9,42.926,0.15
18.1,45.974,0.097
18.3,46.482,0.14
18.5,46.99,0.13
20,50.8,0.22
20,50.8,0.46
20.6,52.324,0.31
20.8,52.832,0.44
21.2,53.848,0.29
21.8,55.372,0.43
23.1,58.674,0.29
24.3,61.722,0.41
24.6,62.484,0.5
25.6,65.024,0.58
12.9,32.766,0.09
15,38.1,0.1
17,43.18,0.11
20.1,51.054,0.22
11,27.94,0.31
13,33.02,0.31
13.2,33.528,0.54
13.6,34.544,0.34
16.5,41.91,0.63
9.8,24.892,0.17
10.7,27.178,0.42
12.8,32.512,0.41
19.7,50.038,0.55
15.5,39.37,0.4
16.7,42.418,0.45
21.9,55.626,0.86
25.9,65.786,1.02
13.1,33.274,0.31
16,40.64,0.47
17.5,44.45,0.44
24.7,62.738,0.82
14.9,37.846,0.59
15.6,39.624,0.68
17.4,44.196,0.68
21.2,53.848,0.68
21.2,53.848,0.61
24.2,61.468,1.5
25.9,65.786,1
23.8,60.452,1.3
10.8,27.432,0.39
10.9,27.686,0.22
10.4,26.416,0.28
11,27.94,0.25
11.6,29.464,0.45
11.4,28.956,0.24
12.1,30.734,0.25
12.6,32.004,0.43
13,33.02,0.36
15,38.1,0.68
15.8,40.132,0.4
16.7,42.418,0.51
16.6,42.164,0.72
17.9,45.466,0.48
18.5,46.99,1.02
12.7,32.258,0.71
14.1,35.814,1
14.1,35.814,0.94
14.4,36.576,0.7
15.1,38.354,0.83
15.1,38.354,0.69
15.2,38.608,0.55
15.9,40.386,0.62
15.9,40.386,0.65
17.9,45.466,1.21
20.1,51.054,0.87
20.4,51.816,1.05
21,53.34,1.08
21.2,53.848,1.44
23.2,58.928,1.33
24.8,62.992,2.11
23.9,60.706,1.34
22.8,57.912,0.98
9.1,23.114,0.08
10.3,26.162,0.07
11,27.94,0.1
11.2,28.448,0.08
12.1,30.734,0.12
13.3,33.782,0.15
18.2,46.228,0.45
19.6,49.784,0.34
20,50.8,0.38
10.6,26.924,0.062
13.7,34.798,0.15
17.1,43.434,0.23
22.9,58.166,0.56
22.9,58.166,0.3
21.4,54.356,0.46
13.9,35.306,0.13
8.3,21.082,0.08
18.9,48.006,0.53
20.2,51.308,0.41
8.7,22.098,0.08
18,45.72,0.4
17.8,45.212,0.22
15.3,38.862,0.12
11.2,28.448,0.09
17.2,43.688,0.41
18.2,46.228,0.31
15,38.1,0.15
11.5,29.21,0.09
10.8,27.432,0.08
11,27.94,0.09
14.6,37.084,0.12
10.5,26.67,0.11
15.1,38.354,0.14
20.1,51.054,0.58
17.9,45.466,0.52
10.7,27.178,0.08
8.1,20.574,0.04
11.3,28.702,0.06
11.6,29.464,0.07
14.1,35.814,0.15
8.2,20.828,0.06
8.2,20.828,0.04
8.5,21.59,0.06
10,25.4,0.463
12.8,32.512,0.615
18.4,46.736,0.917
21.4,54.356,0.922
28,71.12,2.498
9.2,23.368,0.97
9.5,24.13,0.56
10.9,27.686,0.67
11.1,28.194,0.37
11.2,28.448,0.6
13.7,34.798,0.89
14.8,37.592,0.85
15,38.1,1.4
15,38.1,1.3
15.5,39.37,1.2
15.7,39.878,1.5
15.9,40.386,1.2
17.3,43.942,1.3
17.4,44.196,1.8
17.5,44.45,1.3
18.1,45.974,1.2
18.3,46.482,1.2
20.1,51.054,1.3
20.2,51.308,1.4
21,53.34,2
23.5,59.69,1.3
27.3,69.342,2.9
27.8,70.612,2.5
8.5,21.59,0.14
8.7,22.098,0.2
8.9,22.606,0.17
9.5,24.13,0.25
9.5,24.13,0.13
10.4,26.416,0.1
10.5,26.67,0.18
10.9,27.686,0.18
11.2,28.448,0.23
11.9,30.226,0.26
13.1,33.274,0.24
14.1,35.814,0.32
18,45.72,0.41
19.6,49.784,0.5
20.1,51.054,0.98
20.6,52.324,0.34
28,71.12,0.95
27.7,70.358,0.99
27,68.58,1.1
11.5,29.21,0.19
11.8,29.972,0.2
12,30.48,0.21
12.2,30.988,0.19
12.5,31.75,0.2
12.8,32.512,0.21
12.9,32.766,0.18
13.6,34.544,0.27
15,38.1,0.26
17.1,43.434,0.43
19,48.26,0.58
14,35.56,0.35
16.6,42.164,0.37
13.4,34.036,0.25
16.3,41.402,0.38
20.6,52.324,0.58
23,58.42,0.72
25.3,64.262,0.75
28.6,72.644,1.4
14.7,37.338,0.38
12.7,32.258,0.24
13.5,34.29,0.32
14.8,37.592,0.44
11.8,29.972,0.43
8.7,22.098,0.2
13,33.02,0.27
14.8,37.592,0.38
14,35.56,0.29
10.5,26.67,0.32
10,25.4,0.25
11,27.94,0.27
11.4,28.956,0.1
14.4,36.576,0.55
13.4,34.036,0.41
11.3,28.702,0.27
21.1,53.594,0.63
21.1,53.594,0.63
22.1,56.134,0.69
8.3,21.082,0.164
8.3,21.082,0.162
8.9,22.606,0.178
11.1,28.194,0.198
11.3,28.702,0.24
12.9,32.766,0.315
16.5,41.91,0.467
17.5,44.45,0.626
17.9,45.466,0.812
19.1,48.514,0.913
20.1,51.054,0.639
20.4,51.816,1.177
11.8,29.972,0.28
13.5,34.29,0.34
18.1,45.974,0.55
19.7,50.038,0.76
11.2,28.448,0.16
12.6,32.004,0.19
12.8,32.512,0.14
14.1,35.814,0.17
14.1,35.814,0.14
14.3,36.322,0.14
15,38.1,0.19
17.2,43.688,0.18
20.8,52.832,0.29
22.8,57.912,0.49
