Asking.Price,Year.Made,Num.Options,Mileage,Price.New,Loan.Val,Avg.Retail,  Make, Model,Make.Model
2700,86,3,87,5479,1200,2425,Honda,Civic,HondaCivic
1950,86,4,109,6699,1600,2950,Honda,Civic,HondaCivic
6000,87,4,70,12785,4200,6225,Honda,Accord,HondaAccord
5500,87,4,76,12785,4200,6225,Honda,Accord,HondaAccord
3600,87,4,98,7489,2300,3825,Honda,Civic,HondaCivic
2650,87,2,87,5799,1575,2925,Honda,Civic,HondaCivic
2200,87,3,92,7639,2375,3900,Honda,CRX,HondaCRX
7495,88,4,65,13695,5300,7575,Honda,Accord,HondaAccord
6300,88,4,95,13695,5300,7575,Honda,Accord,HondaAccord
7695,89,4,63,13695,5300,7575,Honda,Accord,HondaAccord
7900,89,3,82,10535,4550,6675,Honda,Accord,HondaAccord
6950,89,4,65,10125,4675,6825,Honda,Civic,HondaCivic
7750,89,3,37,8895,4225,6250,Honda,CRX,HondaCRX
7000,89,4,86,10150,5275,7550,Honda,LX,HondaLX
8350,89,4,57,16965,7775,10725,Honda,Prelude,HondaPrelude
10799,90,4,49,14695,8075,10950,Honda,Accord,HondaAccord
6600,90,4,32,8695,5325,7600,Honda,Civic,HondaCivic
13900,91,3,38,14895,9475,12750,Honda,Accord,HondaAccord
10985,91,4,38,16595,10700,14275,Honda,Accord,HondaAccord
12000,93,4,8,10100,8625,11675,Honda,Civic,HondaCivic
3400,89,4,68,6199,1425,2625,Hyundai,Excel,HyundaiExcel
3500,89,4,66,6199,1425,2625,Hyundai,Excel,HyundaiExcel
6900,92,4,4,9999,7050,9625,Hyundai,Elantra,HyundaiElantra
9300,93,2,8,8799,6575,9075,Hyundai,Scoupe,HyundaiScoupe
2395,86,4,92,6495,1525,2725,Mazda,323,Mazda323
2100,86,4,77,6495,1525,2725,Mazda,323,Mazda323
8300,89,4,50,13299,5950,8375,Mazda,MX6,MazdaMX6
4800,78,4,100,23878,2400,4250,Mercedes,300,Mercedes300
5500,80,4,150,30503,3825,6025,Mercedes,280,Mercedes280
19500,90,4,28,32500,15250,20100,Mercedes,190,Mercedes190
1570,86,2,79,6472,725,1725,Mercury,Lynx,MercuryLynx
3000,88,2,100,14145,2900,4750,Mercury,Sable,MercurySable
2700,88,2,30,8364,1850,3175,Mercury,Tracer,MercuryTracer
8100,89,4,66,15448,5175,7425,Mercury,Cougar,MercuryCougar
1850,89,2,110,9242,2475,3925,Mercury,Tracer,MercuryTracer
6500,91,4,45,8969,4600,6575,Mercury,Tracer,MercuryTracer
7400,92,3,30,9773,5950,8225,Mercury,Tracer,MercuryTracer
5900,89,4,69,19759,4925,7275,merkur,XR4TI,merkurXR4TI
12500,91,4,20,11889,7725,10550,Mitsubishi,Eclipse,MitsubishiEclipse
6200,85,4,71,18399,3275,5050,Nissan,300ZX,Nissan300ZX
1600,85,3,98,6649,900,2075,Nissan,Sentra,NissanSentra
2800,86,2,100,13699,3325,5275,Nissan,Maxima,NissanMaxima
5500,87,4,49,10599,3225,5000,Nissan,Pulsar,NissanPulsar
14500,91,4,30,13609,9600,12900,Nissan,240,Nissan240
9500,92,4,25,16690,10375,13900,Nissan,Stanza,NissanStanza
1500,76,4,42,4610,0,750,Oldsmobile,Cutlass,OldsmobileCutlass
1150,79,4,93,8614,200,1100,Oldsmobile,98,Oldsmobile98
2700,81,4,47,11335,500,1800,Oldsmobile,98,Oldsmobile98
950,81,2,100,7833,200,1125,Oldsmobile,Cutlass,OldsmobileCutlass
6200,86,4,32,11728,2600,4175,Oldsmobile,Cutlass,OldsmobileCutlass
3995,86,2,56,10872,1800,3200,Oldsmobile,Cutlass,OldsmobileCutlass
3800,88,4,100,13235,3450,5300,Oldsmobile,Ciera,OldsmobileCiera
7400,89,4,53,15195,5375,7650,Oldsmobile,Cutlass,OldsmobileCutlass
4300,88,4,100,11195,3225,5000,Oldsmobile,Cutlass,OldsmobileCutlass
6950,90,2,41,14595,5350,7625,Oldsmobile,Cutlass,OldsmobileCutlass
8500,90,4,100,15095,5525,7850,Oldsmobile,Cutlass,OldsmobileCutlass
10900,90,4,60,19995,7600,10700,Oldsmobile,98,Oldsmobile98
10900,92,4,17,15795,9325,12575,Oldsmobile,Cutlass,OldsmobileCutlass
14995,93,4,4,13509,9225,12475,Oldsmobile,Achieva,OldsmobileAchieva
3000,88,2,92,7975,2025,3400,Plymouth,Sundance,PlymouthSundance
4300,88,2,60,7975,2025,3400,Plymouth,Sundance,PlymouthSundance
5500,89,4,4,11295,3575,5425,Plymouth,Acclaim,PlymouthAcclaim
8200,92,3,18,7302,4225,6125,Plymouth,Colt,PlymouthColt
1400,80,4,112,8160,250,1450,Pontiac,Bonnevilel,PontiacBonnevilel
2000,83,2,50,7194,475,1550,Pontiac,J2000,PontiacJ2000
950,83,2,87,5785,200,1025,Pontiac,T1000,PontiacT1000
850,84,2,99,5824,200,1200,Pontiac,T1000,PontiacT1000
2695,86,2,100,8549,1575,2925,Pontiac,Grand,PontiacGrand
3500,86,4,100,12339,2475,4125,Pontiac,Parisian,PontiacParisian
3400,88,4,73,10569,3175,4950,Pontiac,Grand,PontiacGrand
7500,88,2,38,9869,2875,4575,Pontiac,Grand,PontiacGrand
7800,88,4,58,10569,3175,4950,Pontiac,Grand,PontiacGrand
8800,89,4,38,10569,3175,4950,Pontiac,Bonneville,PontiacBonneville
5500,89,2,71,10469,4300,6375,Pontiac,Grand,PontiacGrand
9500,89,4,42,14849,5375,7650,Pontiac,Grand,PontiacGrand
5500,89,3,83,13899,4875,7075,Pontiac,Grand,PontiacGrand
6900,89,4,71,14849,5375,7650,Pontiac,Grand,PontiacGrand
10200,90,4,70,19144,7225,10075,Pontiac,Bonneville,PontiacBonneville
6800,90,4,47,14894,6025,8450,Pontiac,Grand,PontiacGrand
6900,90,4,49,14894,6025,8450,Pontiac,Grand,PontiacGrand
700,83,2,134,4795,0,700,Renault,Alliance,RenaultAlliance
3300,82,3,129,12700,900,2100,Saab,900S,Saab900S
13900,92,4,24,8995,7575,10275,Saturn,SL1,SaturnSL1
3750,84,2,55,6725,375,1400,Subaru,GL,SubaruGL
4100,89,3,63,8596,2875,4475,Subaru,DL,SubaruDL
3800,89,3,23,5866,1925,3250,Subaru,Justy,SubaruJusty
2495,88,3,60,7995,2250,3650,Suzuki,Samuri,SuzukiSamuri
425,79,2,100,4133,0,825,Toyota,Corolla,ToyotaCorolla
550,83,2,150,4998,325,1350,Toyota,Tercel,ToyotaTercel
1375,84,3,127,5998,675,1825,Toyota,Tercel,ToyotaTercel
1975,85,2,110,5348,725,1875,Toyota,Tercel,ToyotaTercel
2100,85,2,78,5348,725,1875,Toyota,Tercel,ToyotaTercel
1000,85,2,196,5348,725,1875,Toyota,Tercel,ToyotaTercel
2875,86,4,100,10538,3075,4825,Toyota,Camry,ToyotaCamry
2900,86,2,100,11298,2700,4325,Toyota,MR2,ToyotaMR2
5500,87,4,76,10798,4050,6025,Toyota,Camry,ToyotaCamry
11000,87,4,36,19990,5300,7575,Toyota,Supra,ToyotaSupra
3000,88,4,94,10148,4175,6050,Toyota,Corolla,ToyotaCorolla
11495,90,4,33,13938,8150,11125,Toyota,Celica,ToyotaCelica
5500,90,3,115,12268,7425,10200,Toyota,Celica,ToyotaCelica
6500,90,4,65,9488,5150,7225,Toyota,Corolla,ToyotaCorolla
6250,90,3,63,8748,4825,6850,Toyota,Corolla,ToyotaCorolla
8750,91,3,34,8998,5900,8175,Toyota,Corolla,ToyotaCorolla
6400,91,2,34,6488,3475,5225,Toyota,Tercel,ToyotaTercel
8500,92,2,9,8998,5900,8175,Toyota,Corolla,ToyotaCorolla
8900,92,3,33,8998,5900,8175,Toyota,Corolla,ToyotaCorolla
9700,92,2,14,9418,7425,10100,Toyota,Corolla,ToyotaCorolla
9995,92,4,32,10338,8275,11500,Toyota,Paseo,ToyotaPaseo
7200,92,2,18,6998,4900,6925,Toyota,Tercel,ToyotaTercel
8500,87,3,49,15175,4550,6950,Volvo,240,Volvo240
950,84,2,128,7630,1025,2250,VW,Jetta,VWJetta
3000,85,2,71,6990,1025,2250,VW,Golf,VWGolf
4000,87,4,87,8370,2025,3475,VW,Jetta,VWJetta
4650,87,4,64,14985,2850,4550,VW,Quantum,VWQuantum
8000,91,2,41,10385,7250,9975,VW,Jetta,VWJetta
13000,92,4,40,12390,9175,12375,VW,Jetta,VWJetta
