District,Enrollment,PPE,AVPP,LogPPE,LogAVPP,LogEnrollment
Pike Valley,297,6981.66,39788,8.8510419898,10.591320638,5.6937321388
Belleville,574,6778.29,42556,8.8214801367,10.658576135,6.3526293963
Great Bend,3245,5113.08,32651,8.5395572413,10.393630762,8.0848706291
Troy,405,6735.77,22868,8.8151874104,10.037493832,6.0038870671
Brown County,753,6458.33,21502,8.7731260494,9.975901233,6.6240652278
Hoisington,733,6326.76,30911,8.7525435358,10.338867387,6.5971457019
Victoria,316,7084.47,45419,8.8656603434,10.723685799,5.7557422136
Midway,226,7309.21,53958,8.8968904758,10.895961245,5.4205349993
Santa Fe,1356,6185.47,24719,8.7299582722,10.115327458,7.2122944685
Abilene,1487,5360.28,33393,8.5867714915,10.416101576,7.3045159465
Caney,988,5810.22,20028,8.6673737149,9.9048865734,6.8956826977
Auburn Washburn,5073,5016.39,56167,8.5204658305,10.936084675,8.5316876376
Skyline,420,6714.84,41735,8.8120752814,10.639095384,6.0402547113
Sedgwick,482,6294.62,22268,8.7474505793,10.010905949,6.1779441141
Halstead,745,6391.44,40295,8.7627148741,10.603982671,6.6133842184
Sabetha,1039,6157.89,34454,8.7254894654,10.44738038,6.9460139911
Nemaha Valley,560,6611.12,41450,8.7965083587,10.632243161,6.3279367837
Dodge City,5507,5153.06,28701,8.547345992,10.264687244,8.6137752893
Little River,280,7755.83,82810,8.9562000976,11.324304106,5.6347896032
Coffeyville,2212,4946.96,39811,8.5065285255,10.591898535,7.7016523626
Independence,2245,5002.85,33688,8.517763029,10.42489697,7.7164608002
Cherryvale,673,6498.42,19970,8.7793143494,9.9019864264,6.5117453296
Inman,488,6454.3,43934,8.7725018543,10.690443787,6.1903154059
Easton,689,6669.47,29265,8.8052956755,10.284147542,6.535241271
Shawnee Heights,3383,5141.72,37289,8.5451429328,10.526453656,8.1265181688
B & B,263,7676.08,27277,8.9458642792,10.213799135,5.5721540322
Stanton County,567,6831.8,136350,8.829343461,11.822980388,6.3403593037
Leavenworth,4338,5007.84,32267,8.5187599634,10.381800315,8.3751686914
Burlingame,358,6898.76,24947,8.8390969643,10.124508853,5.8805329864
Hillcrest,150,8573.5,52770,9.0564313296,10.873698126,5.0106352941
Marais Des Cygnes,274,7267.39,43885,8.8911524964,10.689327855,5.6131281064
Garden City,7864,5141.95,32837,8.5451876639,10.399311207,8.9700506618
